player_nr,player,wins,losses,total,score_median,score_q25,score_q75,score_lower,score_upper,gamma_Medium,Medium_elo_median,Medium_elo_q25,Medium_elo_q75,Medium_elo_lower,Medium_elo_upper,Medium_wins,Medium_losses,Medium_total
9,Hjalti,4,2,6,1534,1485,1582,1415,1651,0,1534,1485,1582,1415,1651,4,2,6
10,Styrmir,3,2,5,1520,1472,1570,1402,1641,0,1520,1472,1570,1402,1641,3,2,5
4,Aron Freyr,4,3,7,1517,1470,1564,1404,1632,0,1517,1470,1564,1404,1632,4,3,7
7,Luna,4,3,7,1515,1467,1560,1402,1627,0,1515,1467,1560,1402,1627,4,3,7
1,Binni,4,3,7,1514,1467,1561,1399,1629,0,1514,1467,1561,1399,1629,4,3,7
11,Oddur,3,3,6,1504,1457,1552,1386,1623,0,1504,1457,1552,1386,1623,3,3,6
8,Diddi,4,4,8,1500,1454,1547,1388,1612,0,1500,1454,1547,1388,1612,4,4,8
12,Tommi,4,4,8,1499,1450,1546,1386,1614,0,1499,1450,1546,1386,1614,4,4,8
2,Einar,4,5,9,1486,1440,1532,1374,1599,0,1486,1440,1532,1374,1599,4,5,9
3,Ingvi,3,4,7,1485,1437,1533,1367,1603,0,1485,1437,1533,1367,1603,3,4,7
6,Aron Ívars,2,3,5,1479,1429,1529,1357,1597,0,1479,1429,1529,1357,1597,2,3,5
5,Aron Elvar,1,4,5,1448,1398,1498,1325,1571,0,1448,1398,1498,1325,1571,1,4,5
