player_nr,player,wins,losses,total,score_median,score_q25,score_q75,score_lower,score_upper,gamma_High,gamma_Low,gamma_Medium,gamma_Other,High_elo_median,Low_elo_median,Medium_elo_median,Other_elo_median,High_elo_q25,Low_elo_q25,Medium_elo_q25,Other_elo_q25,High_elo_q75,Low_elo_q75,Medium_elo_q75,Other_elo_q75,High_elo_lower,Low_elo_lower,Medium_elo_lower,Other_elo_lower,High_elo_upper,Low_elo_upper,Medium_elo_upper,Other_elo_upper,Medium_wins,Low_wins,Other_wins,High_wins,Medium_losses,Low_losses,Other_losses,High_losses,Medium_total,Low_total,Other_total,High_total
20,Örvar,12,5,17,1581,1536,1629,1474,1712,-0.0021024406,0.08751585849999999,-0.042947372,-0.041838038,1581,1597,1575,1575,1530,1544,1517,1518,1634,1652,1634,1634,1461,1473,1438,1440,1724,1741,1732,1730,NA,6,NA,6,NA,1,NA,4,NA,7,NA,10
4,Aron Freyr,19,12,31,1561,1523,1601,1468,1666,0.11805878,-0.034498985499999996,-0.048311303,-0.0357051485,1582,1556,1553,1557,1539,1504,1509,1504,1627,1610,1599,1610,1477,1427,1444,1427,1694,1691,1670,1690,8,NA,NA,11,7,NA,NA,5,15,NA,NA,16
12,Tommi,29,21,50,1548,1514,1582,1460,1634,0.00671944,0.125562575,-0.21451803,0.077769489,1549,1570,1511,1562,1507,1525,1468,1515,1591,1614,1554,1608,1442,1458,1401,1446,1656,1680,1617,1674,6,9,6,8,10,3,2,6,16,12,8,14
15,Arnar,14,9,23,1547,1507,1590,1443,1659,-0.030493865000000002,0.0360383765,-0.0233610105,0.016883508499999998,1543,1555,1543,1551,1489,1502,1495,1502,1599,1607,1593,1601,1407,1428,1423,1426,1683,1687,1672,1681,5,4,5,NA,4,2,3,NA,9,6,8,NA
9,Hjalti,12,8,20,1539,1497,1584,1434,1655,0.0245703465,-0.022490079000000003,0.018730193,-0.021320646999999998,1544,1536,1542,1536,1497,1481,1492,1481,1593,1593,1595,1591,1431,1401,1418,1402,1666,1679,1678,1680,4,NA,NA,8,2,NA,NA,6,6,NA,NA,14
1,Binni,16,12,28,1527,1486,1569,1413,1633,-0.015153910999999999,-0.05566119,-0.056186574,0.124310905,1524,1517,1517,1548,1467,1466,1470,1497,1579,1569,1564,1599,1381,1379,1395,1418,1660,1649,1635,1674,8,2,6,NA,7,3,2,NA,15,5,8,NA
13,Anna,17,15,32,1522,1484,1563,1428,1628,-0.00799886005,-0.10639082,0.09715394399999999,0.0182255455,1521,1504,1540,1526,1469,1460,1493,1477,1576,1551,1589,1575,1395,1395,1422,1410,1660,1624,1667,1652,6,6,5,NA,2,9,4,NA,8,15,9,NA
19,Siggi,13,11,24,1520,1480,1562,1420,1623,-3.82491435e-5,-0.012548674,0.026674785,-0.0168726175,1521,1518,1524,1518,1471,1465,1476,1467,1570,1573,1574,1567,1402,1387,1407,1395,1644,1653,1648,1641,5,NA,4,4,4,NA,4,3,9,NA,8,7
23,Victor,5,4,9,1508,1461,1556,1385,1630,-0.00761751005,0.014728764500000002,-6.628121349999999e-4,-0.0021728992499999997,1507,1510,1508,1506,1449,1461,1449,1448,1564,1562,1568,1567,1361,1381,1359,1360,1653,1640,1657,1657,NA,5,NA,NA,NA,4,NA,NA,NA,9,NA,NA
2,Einar,21,20,41,1504,1468,1540,1411,1598,-0.042730257,-0.011282993,0.08215486699999999,-0.022486918,1496,1502,1518,1500,1449,1455,1474,1451,1543,1551,1563,1547,1379,1382,1407,1385,1614,1622,1629,1619,10,4,4,3,7,4,5,4,17,8,9,7
